Participant,Focused,EngagingTone,Excited,SpeakingRate,Calm,StructuredAnswers,Paused,NoFillers,Friendly
p76,6.16838343318,5.32815514847,4.95210301001,4.81149020615,6.65413489069,5.53431847292,6.22692242757,6.2481450674,5.35486234899
p77,5.34373011446,5.04403205584,5.0684564842,5.00651856578,5.8994254525,4.74113323385,6.28962198841,3.70303430915,5.2721860111
p78,5.3932381227,4.12014581192,4.87405749468,4.47908460956,4.80321754184,4.32581402037,5.71268617099,5.36451738309,5.29175365885
p79,5.29094368833,5.03357609973,5.5047386594,5.04899580341,4.58222379238,3.79439931967,4.9884801945,4.09771465943,6.50081710451
p80,5.63548254177,5.51372021512,5.28722854802,5.1046814048,5.61660066264,3.76562654207,5.53404859109,5.03461389739,6.16352077699
p81,5.71477411164,5.21116141331,4.90786786953,4.56986662995,5.63567827507,5.46399215651,5.39465410323,3.88038137961,5.60309079617
p83,5.91981245352,5.91289572283,6.07237803909,4.92479784023,5.30453986363,5.37244412606,6.30984737567,4.41832716622,6.56263386472
p84,6.13712525857,6.07671236792,5.74806391498,4.95266403677,5.52459319386,5.51848839033,5.9541839413,4.53483256915,6.60379494668
p85,5.71085908107,4.18887152001,5.1590873908,4.85419639407,4.97716728861,4.37642746289,4.96039937388,3.7069987238,5.52960645867
p86,5.00418910267,5.35606102632,5.24584067598,4.92152637072,5.22898627567,3.24920388012,5.65432133432,3.76396816111,6.09577253947
p89,4.95421908822,4.61729418711,3.85341413998,4.70436996571,5.49461135695,3.14449073711,5.24355771485,3.6965122358,5.44808308358
pp1,5.87442230708,4.38725089468,4.22309947297,5.15755170286,5.91336578718,5.14580135722,5.94529202437,4.54648141875,4.33672034691
pp3,5.52450850636,5.48334742441,5.89438860005,4.73119185588,5.2964504327,4.26777504976,4.80479635848,3.98185116529,6.4412252702
pp4,5.40571501276,5.05492149733,5.5639432533,4.75610540662,4.80916904332,4.42848254782,5.14376084335,3.4213325727,5.57474318604
pp5,6.2597808217,4.81992672201,4.88960961036,4.77527695183,5.93280584464,5.4271945507,6.18959149054,5.54335619878,5.65274497157
pp6,5.45453980235,2.34234890222,3.38885661114,4.24564731784,5.28023803019,4.39897096422,4.43525093313,3.55508561879,3.39458815516
pp7,6.13581586999,5.28492643692,5.25718446938,5.21426709239,5.50735825183,5.38627905146,6.10304026215,5.996112641,5.24739996472
pp8,6.04246801665,4.70188853482,4.14384305604,4.86765381989,5.83932963244,4.98336118463,5.81101424064,2.44644968934,4.34221826456
pp10,5.30224883835,4.36088539963,4.86662689508,4.54939995188,5.10196911668,4.16198686326,5.26672814384,1.71108729165,4.70548582512
pp11,5.94954998278,5.55037114512,4.81586040075,5.00564796629,5.26714385237,5.65383731953,6.35161124181,4.44347345714,5.30613449428
pp12,5.76206421575,5.0800839976,5.04697483866,5.17556654474,5.12008565085,5.2092662769,6.0996045856,4.70619991405,6.03311748841
pp13,5.50384497935,2.74396947155,3.41512086304,4.31410610842,5.09733412477,4.56058517871,6.32825795892,4.68970797264,3.71637526661
pp14,6.30683864478,6.20526467218,5.87726145244,5.40331120354,5.63264672082,5.90207890505,5.92193874148,6.03985252038,6.39995241196
pp15,5.18848519214,3.73476644613,4.13475256088,4.03751462017,4.80808558652,3.77148901234,5.15224331077,3.15028052238,5.19951210392
pp16,5.73773509538,5.77336936576,4.83846612708,4.72327342891,5.78512932197,4.23095320879,5.02860840749,3.94910994181,5.57532599926
pp17,5.91391571239,5.38770854578,5.12230560453,4.82119120769,5.31374761961,4.92906556617,6.02075351649,4.38928726314,6.13791116197
pp20,4.44024298474,3.92663067631,3.69766798826,4.60522808916,4.56701583607,3.89837257493,5.66325026775,3.79767328317,5.27171888136
pp21,5.75684575869,5.03819650315,5.01908764498,4.51768071206,5.59542775822,4.95088370379,6.00510089931,2.67465668633,5.68968617665
pp22,5.86852556595,4.56826363168,4.49477029504,4.37715459886,5.74401068903,5.34692631635,5.93632857606,5.47764667552,4.56068110334
pp24,6.15237252794,6.10149098818,5.68979624986,4.89546144859,5.68674045923,5.72629711152,6.21013271686,5.78971790605,6.49574141972
pp25,5.18535019858,4.99735249178,5.0785281993,4.58265137408,4.77683516175,5.12695700394,5.05544831246,2.51533208581,5.71378121086
pp27,5.43605445014,4.58375893765,4.25474234237,4.11125856462,5.73700280731,5.13232208775,5.2669665851,5.16571007843,5.45308034543
pp29,5.62296377095,5.42016179024,4.84387698986,4.74918923243,5.32503448397,5.6188688468,5.77897916176,3.47308052547,5.66237012138
pp30,4.87796011201,3.17099152906,3.82418987995,4.27031717741,4.01748401519,3.14649821165,6.2604260549,4.70900203221,4.933547407
pp31,5.47623373806,5.47005875869,5.49574141972,4.99961985692,4.93685558331,4.16855528833,5.38891300458,3.83638684962,5.24699461691
pp32,5.67489383873,5.48126251436,6.10891709955,4.83823651544,4.39372903256,5.35450601117,5.04606489067,4.66548697723,6.11468987879
pp33,6.47983415193,6.49179930037,6.44792658715,4.7918713303,5.13887223422,5.29600706178,5.81512594551,5.00000123154,6.7946523434
pp34,5.58293788131,4.99993528346,5.59283916177,4.98986152203,4.41897763696,5.2122136212,5.30609586007,4.05370904362,5.65031865856
pp35,6.01440727546,5.44924829929,5.35490812796,4.81782795291,5.29151419022,5.73025318131,6.13072104124,4.91283453439,6.02722074728
pp37,5.94702487133,5.72442179476,5.41453388368,5.09778269594,5.15282488023,5.39724331077,6.04500668319,5.00916115602,6.0884434302
pp42,6.25792983737,5.52699959434,5.20132255283,4.89546144859,5.99435402369,5.78039323506,6.08395849275,6.28709687697,4.62200556332
pp43,6.05234932614,5.16233559032,5.0018922018,4.88313546047,5.74617751241,5.64187217109,6.51283153459,4.57394270017,5.70059863648
pp44,5.58591249265,4.24373353799,3.90723722481,3.63257273786,6.14843040859,4.86738743902,5.84120126979,4.35968019481,5.06849873507
pp45,6.01142109881,5.59511191916,5.25152370644,4.7397760221,4.83338297315,5.17790702821,5.0970812793,5.66082144242,4.96345393298
pp47,4.65483022031,3.64773832077,3.6833520267,4.20934072547,4.43413395344,4.88189890141,5.89737676649,4.08654429333,4.47669743541
pp48,4.64934112355,3.02951716106,2.94785499557,4.22012919927,5.20581459739,3.70517243394,5.35768380608,4.22628231791,4.41060253529
pp49,6.046410136,4.635598874,4.8336393059,4.03415136539,5.99988992679,3.60251698209,4.85571625109,5.47611503292,5.08737228473
pp50,6.42555208856,5.40524807197,4.84964368682,4.57824655502,6.4418705034,5.60457267794,5.9102430211,6.24715397176,4.34872671283
pp52,5.21509482577,3.01138233522,3.30791272485,4.43135461213,5.74609575951,3.4167546091,5.62228728884,4.1873264182,4.68299080403
pp53,6.01485677536,5.46113064156,5.5999828715,5.40031469684,5.42729906422,4.72087043474,4.63246739501,2.27251605954,5.35525455847
pp55,5.84128425422,4.89663746304,4.79514067564,4.81782795291,6.28930614936,5.5121846745,5.96485446638,5.13078924822,5.92726867235
pp56,5.42235049818,3.90828839932,4.22268832593,4.28361096637,5.04762585886,4.89659331096,5.87070594442,4.2330270152,4.60846631705
pp57,6.72840513159,6.02213397667,6.27306948742,4.57473294712,6.16225260589,6.42801315315,6.25200855742,6.19658287619,6.46304340782
pp58,6.02196923935,4.1801127924,4.62066574061,4.27403775482,5.20570349078,4.96176767423,5.94123176766,5.3324276401,6.52345629847
pp59,6.14987631041,6.13901746037,6.52391736367,5.06018569988,5.39850195419,4.80223590513,5.4839458568,4.99416567885,6.38481691887
pp60,5.33350701296,5.27313295466,5.60158567429,4.49399235509,4.21861615639,4.00819070739,5.02774377267,3.64950632066,6.18658172626
pp61,5.95507679435,4.33345879044,4.37346867711,4.78731615811,5.59268723303,5.07001699529,5.66780476994,4.52135283988,4.21187770272
pp62,5.49441146669,4.5210439359,4.3896451902,4.09324372274,5.90195056395,4.58244744147,5.17954563269,4.07674419644,5.10828638159
pp63,5.74917921253,3.98664493244,4.18708694355,4.47840118048,5.86600045451,4.13378031313,5.77889617733,3.72610758198,5.44415572945
pp64,5.90680324839,5.13196864187,5.45147754264,4.98296281317,5.50551142447,4.89416284336,4.90968370693,4.22186091451,4.26648173412
